month,year,name,gas,main_sector,total_emissions
1,2021,Phù Yên,co2,Đất đai,119.7
1,2021,Phù Yên,co2e_20yr,Chất thải,33.31
1,2021,Phù Yên,co2e_20yr,Công nghiệp,20.9
1,2021,Phù Yên,co2e_20yr,Giao thông,671.74
1,2021,Phù Yên,co2e_20yr,Nông nghiệp,2918.27
1,2021,Phù Yên,co2e_20yr,Năng lượng,12.55
1,2021,Phù Yên,co2e_20yr,Đất đai,119.7
1,2021,Phù Yên,n2o,Chất thải,0.02
1,2021,Phù Yên,n2o,Công nghiệp,0.03
1,2021,Phù Yên,n2o,Giao thông,5.61
1,2021,Phù Yên,n2o,Nông nghiệp,3.4
1,2021,Phù Yên,n2o,Năng lượng,0.19
1,2021,Phù Yên,n2o,Đất đai,0.0
1,2021,Phúc Thọ,ch4,Chất thải,4865.23
1,2021,Phúc Thọ,ch4,Công nghiệp,26.2
1,2021,Phúc Thọ,ch4,Giao thông,124.16
1,2021,Phúc Thọ,ch4,Nông nghiệp,17991.05
1,2021,Phúc Thọ,ch4,Năng lượng,15.24
1,2021,Phúc Thọ,ch4,Đất đai,0.0
1,2021,Phúc Thọ,co2,Chất thải,10.81
1,2021,Phúc Thọ,co2,Công nghiệp,4342.56
1,2021,Phúc Thọ,co2,Giao thông,7897.0
1,2021,Phúc Thọ,co2,Nông nghiệp,1189.87
1,2021,Phúc Thọ,co2,Năng lượng,3726.08
1,2021,Phúc Thọ,co2,Đất đai,529.27
1,2021,Phúc Thọ,co2e_20yr,Chất thải,4924.38
1,2021,Phúc Thọ,co2e_20yr,Công nghiệp,6912.67
1,2021,Phúc Thọ,co2e_20yr,Giao thông,8090.69
1,2021,Phúc Thọ,co2e_20yr,Nông nghiệp,19753.03
1,2021,Phúc Thọ,co2e_20yr,Năng lượng,3802.3
1,2021,Phúc Thọ,co2e_20yr,Đất đai,529.27
1,2021,Phúc Thọ,n2o,Chất thải,2.38
1,2021,Phúc Thọ,n2o,Công nghiệp,22.32
1,2021,Phúc Thọ,n2o,Giao thông,67.66
1,2021,Phúc Thọ,n2o,Nông nghiệp,302.25
1,2021,Phúc Thọ,n2o,Năng lượng,58.72
1,2021,Phúc Thọ,n2o,Đất đai,0.0
1,2021,Phủ Lý,ch4,Chất thải,3317.98
1,2021,Phủ Lý,ch4,Công nghiệp,43.27
1,2021,Phủ Lý,ch4,Giao thông,141.49
1,2021,Phủ Lý,ch4,Nông nghiệp,20229.69
1,2021,Phủ Lý,ch4,Năng lượng,18.24
1,2021,Phủ Lý,ch4,Đất đai,0.0
1,2021,Phủ Lý,co2,Chất thải,7.37
